"Severity","Appender","Date","Time","Category","Message"
"INFO","FILEAPPENDER","06/08/2011","16:46:32","coldbox.system.cache.providers.CacheBoxColdBoxProvider","CacheBox Cache: default has been initialized successfully for operation"
"INFO","FILEAPPENDER","06/08/2011","16:46:32","coldbox.system.cache.providers.CacheBoxColdBoxProvider","CacheBox Cache: TEMPLATE has been initialized successfully for operation"
"DEBUG","FILEAPPENDER","06/08/2011","16:46:32","coldbox.system.ioc.Injector","Registered all internal lifecycle scopes successfully: SINGLETON,SESSION,APPLICATION,REQUEST,CACHEBOX,SERVER,NOSCOPE"
"DEBUG","FILEAPPENDER","06/08/2011","16:46:32","coldbox.system.ioc.Injector","Scope Registration enabled and Injector scoped to: {ENABLED={true},SCOPE={application},KEY={wireBox}}"
"INFO","FILEAPPENDER","06/08/2011","16:46:32","coldbox.system.plugins.IOC","IOC integration detected, beginning configuration of IOC Factory"
"INFO","FILEAPPENDER","06/08/2011","16:46:33","coldbox.system.plugins.IOC","IoC factory: coldspring:/codex/config/coldspring.xml.cfm loaded and configured for operation"
"DEBUG","FILEAPPENDER","06/08/2011","16:46:33","coldbox.system.ioc.Injector","Finalized Autowire for: codex.interceptors.util.ses ExtraInfo:{DICONSTRUCTORARGS={[]},DIPROPERTIES={[]},PROVIDERMETHODS={[]},NAME={codex.interceptors.util.ses},DSL={},DISCOVERED={true},SCOPE={NoScope},AUTOASPECTBINDING={true},PATH={/Users/lmajano/Sites/codexwiki/src/interceptors/util/ses.cfc},AUTOINIT={true},EAGERINIT={false},DISETTERS={[]},ALIAS={[codex.interceptors.util.ses]},ONDICOMPLETE={[]},VALUE={},METADATA={{NAME={codex.interceptors.util.ses},FULLNAME={codex.interceptors.util.ses},FUNCTIONS={[Ljava.lang.Object;@7bf8d8dd},HINT={This is a ses support internceptor},PATH={/Users/lmajano/Sites/codexwiki/src/interceptors/util/ses.cfc},EXTENDS={{NAME={coldbox.system.interceptors.SES},FULLNAME={coldbox.system.interceptors.SES},FUNCTIONS={[Ljava.lang.Object;@e65d4c1},HINT={This interceptor provides complete SES and URL mappings support to ColdBox Applications},PATH={/Users/lmajano/Sites/cboxdev/core/coldbox/system/interceptors/SES.cfc},EXTENDS={{NAME={coldbox.system.Interceptor},FULLNAME={coldbox.system.Interceptor},FUNCTIONS={[Ljava.lang.Object;@18ab2b28},SERIALIZABLE={false},HINT={This is the base Interceptor class},PATH={/Users/lmajano/Sites/cboxdev/core/coldbox/system/Interceptor.cfc},EXTENDS={{NAME={coldbox.system.FrameworkSupertype},FULLNAME={coldbox.system.FrameworkSupertype},FUNCTIONS={[Ljava.lang.Object;@adfd939},SERIALIZABLE={false},HINT={This is the layer supertype cfc for all ColdBox related objects.},PATH={/Users/lmajano/Sites/cboxdev/core/coldbox/system/FrameworkSupertype.cfc},EXTENDS={{PATH={/Applications/JRun4/servers/cfusion/cfusion-ear/cfusion-war/WEB-INF/cftags/component.cfc},NAME={WEB-INF.cftags.component},FULLNAME={WEB-INF.cftags.component},TYPE={component}}},OUTPUT={false},TYPE={component}}},OUTPUT={false},TYPE={component}}},OUTPUT={false},TYPE={component}}},OUTPUT={false},TYPE={component}}},AUTOWIRE={true},CACHE={{KEY={},PROVIDER={default},LASTACCESSTIMEOUT={},TIMEOUT={}}},DIMETHODARGS={[]},METHOD={},CONSTRUCTOR={init},ASPECT={false},TYPE={cfc}}"
"DEBUG","FILEAPPENDER","06/08/2011","16:46:33","coldbox.system.ioc.Injector","Finalized Autowire for: coldbox.system.Interceptors.Security ExtraInfo:{DICONSTRUCTORARGS={[]},DIPROPERTIES={[]},PROVIDERMETHODS={[]},NAME={coldbox.system.Interceptors.Security},DSL={},DISCOVERED={true},SCOPE={NoScope},AUTOASPECTBINDING={true},PATH={/Users/lmajano/Sites/codexwiki/src/coldbox/system/Interceptors/Security.cfc},AUTOINIT={true},EAGERINIT={false},DISETTERS={[]},ALIAS={[coldbox.system.Interceptors.Security]},ONDICOMPLETE={[]},VALUE={},METADATA={{NAME={coldbox.system.Interceptors.Security},FULLNAME={coldbox.system.Interceptors.Security},FUNCTIONS={[Ljava.lang.Object;@4f1936d7},HINT={This is a security interceptor},PATH={/Users/lmajano/Sites/codexwiki/src/coldbox/system/Interceptors/Security.cfc},EXTENDS={{NAME={codex.coldbox.system.Interceptor},FULLNAME={codex.coldbox.system.Interceptor},FUNCTIONS={[Ljava.lang.Object;@5f85d3},SERIALIZABLE={false},HINT={This is the base Interceptor class},PATH={/Users/lmajano/Sites/codexwiki/src/coldbox/system/Interceptor.cfc},EXTENDS={{NAME={coldbox.system.FrameworkSupertype},FULLNAME={coldbox.system.FrameworkSupertype},FUNCTIONS={[Ljava.lang.Object;@5878306e},SERIALIZABLE={false},HINT={This is the layer supertype cfc for all ColdBox related objects.},PATH={/Users/lmajano/Sites/codexwiki/src/coldbox/system/FrameworkSupertype.cfc},EXTENDS={{PATH={/Applications/JRun4/servers/cfusion/cfusion-ear/cfusion-war/WEB-INF/cftags/component.cfc},NAME={WEB-INF.cftags.component},FULLNAME={WEB-INF.cftags.component},TYPE={component}}},OUTPUT={false},TYPE={component}}},OUTPUT={false},TYPE={component}}},OUTPUT={false},TYPE={component}}},AUTOWIRE={true},CACHE={{KEY={},PROVIDER={default},LASTACCESSTIMEOUT={},TIMEOUT={}}},DIMETHODARGS={[]},METHOD={},CONSTRUCTOR={init},ASPECT={false},TYPE={cfc}}"
"DEBUG","FILEAPPENDER","06/08/2011","16:46:33","coldbox.system.ioc.Injector","Finalized Autowire for: /Users/lmajano/Sites/codexwiki/src/model/wiki/parser/WikiText.cfc ExtraInfo:{DICONSTRUCTORARGS={[]},DIPROPERTIES={[]},PROVIDERMETHODS={[]},NAME={/Users/lmajano/Sites/codexwiki/src/model/wiki/parser/WikiText.cfc},DSL={},DISCOVERED={true},SCOPE={NoScope},AUTOASPECTBINDING={true},PATH={/Users/lmajano/Sites/codexwiki/src/model/wiki/parser/WikiText.cfc},AUTOINIT={true},EAGERINIT={false},DISETTERS={[]},ALIAS={[/Users/lmajano/Sites/codexwiki/src/model/wiki/parser/WikiText.cfc]},ONDICOMPLETE={[]},VALUE={},METADATA={{NAME={codex.model.wiki.parser.WikiText},FULLNAME={codex.model.wiki.parser.WikiText},FUNCTIONS={[Ljava.lang.Object;@6f591322},HINT={the media wiki parser},PATH={/Users/lmajano/Sites/codexwiki/src/model/wiki/parser/WikiText.cfc},EXTENDS={{PATH={/Applications/JRun4/servers/cfusion/cfusion-ear/cfusion-war/WEB-INF/cftags/component.cfc},NAME={WEB-INF.cftags.component},FULLNAME={WEB-INF.cftags.component},TYPE={component}}},OUTPUT={false},TYPE={component}}},AUTOWIRE={true},CACHE={{KEY={},PROVIDER={default},LASTACCESSTIMEOUT={},TIMEOUT={}}},DIMETHODARGS={[]},METHOD={},CONSTRUCTOR={init},ASPECT={false},TYPE={cfc}}"
"DEBUG","FILEAPPENDER","06/08/2011","16:46:33","coldbox.system.ioc.Injector","Dependency: {JAVACAST={null},NAME={WikiText},DSL={ioc:WikiText},REQUIRED={false},SCOPE={variables},VALUE={null},REF={null}} --> injected into codex.interceptors.wiki.WikiText"
